"","Country","Afrobarometer Round Number","Survey Start Date","Survey End Date","Survey Duration","Region","Credibility of Region","Average Dates of Violence","Start Dates of Violence","End Dates of Violence","Casualties","Fatalities High Estimate","Fatalities Low Estimate","Fatalities Average","Injuries","Notes","Sources"
"48","Kenya","Round 6",2014-11-12,2014-12-05,23,"Starehe",1,2014-11-17,2014-11-17,2014-11-17,NA,0,0,0,NA,"A mob of men attacked and stripped a woman after accusing her of being inappropriately dressed. The assault comes hours after a group protested such attacks.","ACLED"
"49","Kenya","Round 6",2014-11-12,2014-12-05,23,"Kanduyi",1,2014-11-17,2014-11-17,2014-11-17,NA,0,0,0,NA,"Molasses traders protest a buyer over perceived favouritism given to conglomerates.","ACLED"
"50","Kenya","Round 6",2014-11-12,2014-12-05,23,"Nyali",1,2014-11-17,2014-11-17,2014-11-17,NA,4,4,4,NA,"Four are killed in Kisauni by """"radical youth"""" on the evening of 17/11. Police suspect that the incident may have been a revenge attack for the killing of a youth at Masgid Shuhadaa during a raid on two Mosques in Kisauni the previous evening.","ACLED"
"51","Kenya","Round 6",2014-11-12,2014-12-05,23,"Starehe",1,2014-11-17,2014-11-17,2014-11-17,NA,0,0,0,NA,"University of Nairobi students riot over a prolonged power blackout. The students stoned motorists driving by and robbed pedestrians who were using the road at the time of the blackout. No injuries reported.","ACLED"
"52","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mwatate",2,2014-11-17,2014-11-17,2014-11-17,NA,0,0,0,NA,"Hundreds of residents invaded a 60,000-acre ranch in Taita Taveta belonging to a cooperative in protest of land grabbing by a third party.","ACLED"
"53","Kenya","Round 6",2014-11-12,2014-12-05,23,"Nyali",1,2014-11-16,2014-11-16,2014-11-16,NA,1,1,1,NA,"Police raid two Kisauni mosques during the evening hours, arrest 250+ suspects. One death from the raids reported.","ACLED"
"54","Kenya","Round 6",2014-11-12,2014-12-05,23,"Starehe",1,2014-11-14,2014-11-14,2014-11-14,NA,0,0,0,NA,"A womens group in suburban Nairobi protests lenient penalties on the sale of illegal alcohol.","ACLED"
"55","Kenya","Round 6",2014-11-12,2014-12-05,23,"Nithi",1,2014-11-12,2014-11-12,2014-11-12,NA,0,0,0,NA,"Two suspected criminals were beaten up and burned by a mob in Chuka Igambangombe constituency. Police rescued the suspects, who suffered severe burns.","ACLED"
"56","Kenya","Round 6",2014-11-12,2014-12-05,23,"Isiolo North",1,2014-11-11,2014-11-11,2014-11-11,NA,8,8,8,NA,"At least eight people were killed and four others seriously injured in inter- communal clashes in northern Kenyas Isiolo County. The clash reportedly lasted for several hours. The clash occurred at Leruko on Isiolo side, a few meters from the bridge that connects Isiolos Buffalo Springs game reserve with Samburu Park.","ACLED"
"57","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mvita",1,2014-11-09,2014-11-09,2014-11-09,NA,1,1,1,NA,"One is dead and several injured when a group protesting over extra-judicial killings and insecurity becomes violent. Several roads were also reported barricaded. The riot was centrally sparked to avenge the killing of terror suspect Hassan Guti. Several arrests reported.","ACLED"
"58","Kenya","Round 6",2014-11-12,2014-12-05,23,"Lurambi",2,2014-11-09,2014-11-09,2014-11-09,NA,1,1,1,NA,"A tribal clash over land causes the death of one and several houses destroyed. The clash occurred in Kuvasali village, Kakamega County.","ACLED"
"59","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mvita",1,2014-11-08,2014-11-08,2014-11-08,NA,1,1,1,NA,"Unidentified persons shoot and kill an al Shabaab suspect in the Majengo area. The suspect was driving with his wife and niece. The assailants are rumoured to be members of a Kenyan Anti-militant unit. The killing sparked a violent protest several days later.","ACLED"
"60","Kenya","Round 6",2014-11-12,2014-12-05,23,"Turkana Central",1,2014-11-06,2014-11-06,2014-11-06,NA,0,0,0,NA,"Residents protest in Lodwar over area insecurity for a second day.","ACLED"
"61","Kenya","Round 6",2014-11-12,2014-12-05,23,"Kesses",1,2014-11-05,2014-11-05,2014-11-05,NA,0,0,0,NA,"A Kapseret MP is slapped, pushed to the ground and stamped on the chest for refusing to comply with a police traffic order. The action spurred a protest against the police. Exact date not known - source date is 07/11.","ACLED"
"62","Kenya","Round 6",2014-11-12,2014-12-05,23,"Turkana Central",1,2014-11-05,2014-11-05,2014-11-05,NA,0,0,0,NA,"Students protest in Lodwar, Turkana county over recent insecurity in the region. The group threatened to halt oil exploration in the area if the government did not act. The protest is mainly a reaction to an attack on a police post in Kapedo over the weekend.","ACLED"
"63","Kenya","Round 6",2014-11-12,2014-12-05,23,"Tiaty",1,2014-11-05,2014-11-05,2014-11-05,NA,6,6,6,NA,"A security operation against a group of Pokot militia yields the recovery of weapons and the deaths of six bandits, who had been launching attacks in the area recently. An MP said banditry attacks were instigated by people who want Kapedo to be annexed to Baringo.","ACLED"
"64","Kenya","Round 6",2014-11-12,2014-12-05,23,"Kesses",1,2014-11-05,2014-11-05,2014-11-05,NA,0,0,0,NA,"Following heavy-handed treatment by police against a MP, residents of Cheptiret protest the action, calling for the local police station to be shut down. Exact date not known - source date is 07/11.","ACLED"
"65","Kenya","Round 6",2014-11-12,2014-12-05,23,"Homa Bay",1,2014-11-04,2014-11-04,2014-11-04,NA,0,0,0,NA,"Residents of Homa Bay town and its environs protest against a three-day power blackout.","ACLED"
"66","Kenya","Round 6",2014-11-12,2014-12-05,23,"Keiyo North",1,2014-11-04,2014-11-04,2014-11-04,NA,0,0,0,NA,"Residents protest against an MP over a tax law violation.","ACLED"
"67","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mvita",1,2014-11-04,2014-11-04,2014-11-04,NA,1,1,1,NA,"An outspoken moderate Muslim cleric and al Shabaab critic was assassinated outside his mosque in Mombasa. Perpetrators remain unknown.","ACLED"
"68","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mvita",1,2014-11-03,2014-11-03,2014-11-03,NA,0,0,0,NA,"Dock workers protest at Mombasa port against inter-political union activities.","ACLED"
"69","Kenya","Round 6",2014-11-12,2014-12-05,23,"Lamu West",1,2014-11-03,2014-11-03,2014-11-03,NA,0,0,0,NA,"A group of youths threw stones at Administration Police officers on night curfew patrol in Lamu. The officers were pelted with stones from a rooftop. No reported injures. The rioters were adverse to the curfew.","ACLED"
"70","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mvita",1,2014-11-02,2014-11-02,2014-11-02,NA,6,6,6,NA,"Six al Shabaab suspects were shot dead and a soldier seriously injured in an attempted invasion of the KDF Nyali Barracks in Mombasa early in the day.","ACLED"
"71","Kenya","Round 6",2014-11-12,2014-12-05,23,"Garsen",1,2014-11-01,2014-11-01,2014-11-01,NA,1,1,1,NA,"One person was hacked to death and four others seriously injured in a fresh attack in Bora Moyo village of Kipini. The violence began when a militia from Garjel community attacked the town when they believed its residents had stolen a herd of goats.","ACLED"
"72","Kenya","Round 6",2014-11-12,2014-12-05,23,"Tiaty",1,2014-11-01,2014-11-01,2014-11-01,NA,24,24,24,NA,"At least 24 police officers and Kenya Police Reservists (KPR) are feared dead, 17 injured, in a fresh attack in Kapedo in Tiaty Sub-county Baringo County after Pokot raiders attacked the at Lomelo and Kapau areas of the city.","ACLED"
"73","Kenya","Round 6",2014-11-12,2014-12-05,23,"Juja",1,2014-11-01,2014-11-01,2014-11-01,NA,0,0,0,NA,"The Jomo Kenyatta University of Agriculture and Technology (JKUAT) has been closed indefinitely after students went on rampage over a fee.","ACLED"
"74","Kenya","Round 6",2014-11-12,2014-12-05,23,"Tiaty",1,2014-10-31,2014-10-31,2014-10-31,NA,7,7,7,NA,"Seven police members are dead and 17 missing following an attack on their post by local tribesmen. Attackers targeted three police vehicles and burned one of them. The motive for the attack is not known. A similar attack occurred in the area the previous week.","ACLED"
"75","Kenya","Round 6",2014-11-12,2014-12-05,23,"Turkana West",1,2014-10-29,2014-10-29,2014-10-29,NA,4,4,4,NA,"Fighting between two South Sudanese tribes carries over into a second day.","ACLED"
"76","Kenya","Round 6",2014-11-12,2014-12-05,23,"Lamu West",1,2014-10-29,2014-10-29,2014-10-29,NA,0,0,0,NA,"Traders in Lamu protest for a second consecutive day. Police reported involvement.","ACLED"
"77","Kenya","Round 6",2014-11-12,2014-12-05,23,"Turkana West",1,2014-10-28,2014-10-28,2014-10-28,NA,5,5,5,NA,"Nine refugees are known to have been killed and a number of others wounded in days of fighting in the Kakuma refugee camp. The fighting started after an attempted rape of a nine-year-old Nuer girl by a Dinka boy. Though the fighting mainly centered between the two South Sudanese actors, several others from Central Africa were also involved.","ACLED"
"78","Kenya","Round 6",2014-11-12,2014-12-05,23,"Kapenguria",1,2014-10-28,2014-10-28,2014-10-28,NA,0,0,0,NA,"Students of Laikipia University in Kitale and Kapenguria protest the college CEOs decision to relocate them to the Eldoret campus.","ACLED"
"79","Kenya","Round 6",2014-11-12,2014-12-05,23,"Saboti",1,2014-10-28,2014-10-28,2014-10-28,NA,0,0,0,NA,"Students of Laikipia University in Kitale and Kapenguria protest the college CEOs decision to relocate them to the Eldoret campus.","ACLED"
"80","Kenya","Round 6",2014-11-12,2014-12-05,23,"Lamu West",1,2014-10-28,2014-10-28,2014-10-28,NA,0,0,0,NA,"Lamu residents have again taken to the streets to protest the continued extension of the night curfew which has been in force for more than three months now. Police were deployed to disperse the protesters.","ACLED"
"81","Kenya","Round 6",2014-11-12,2014-12-05,23,"Manyatta",1,2014-10-28,2014-10-28,2014-10-28,NA,1,1,1,NA,"A vigilante mob attack and kill a robbery suspect in the Nduuri of Embu.","ACLED"
"82","Kenya","Round 6",2014-11-12,2014-12-05,23,"Ol Kalou",1,2014-10-28,2014-10-28,2014-10-28,NA,1,1,1,NA,"A vigilante mob lynch a murder suspect in Mukindu village in Ol Kalou.","ACLED"
"83","Kenya","Round 6",2014-11-12,2014-12-05,23,"Central",1,2014-10-27,2014-10-27,2014-10-27,NA,0,0,0,NA,"Mutige Secondary School students walked out in protest against the administrations failure to address their grievances (the students want medical attention for the injured, new toilets, transport and leakage in classrooms and dormitories fixed). The more than 200 students marched to the countys headquarters in Kerugoya.","ACLED"
"84","Kenya","Round 6",2014-11-12,2014-12-05,23,"Malindi",1,2014-10-27,2014-10-27,2014-10-27,NA,0,0,0,NA,"Residents of the Milano area of Malindi town demonstrated against the buying of land by a business tycoon.","ACLED"
"85","Kenya","Round 6",2014-11-12,2014-12-05,23,"Vihiga",1,2014-10-25,2014-10-25,2014-10-25,NA,0,0,0,NA,"Residents of Majengo town in Vihiga county protest, demanding an audience with the Governor of the region to express their grievance over a recent spate of robberies.","ACLED"
"86","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mvita",1,2014-10-24,2014-10-24,2014-10-24,NA,0,0,0,NA,"Non-violent activity: A group of Muslim youth forcibly overtake a mosque in Mombasa, and ejected its moderate imam and management committee. Injuries/causalities not known.","ACLED"
"87","Kenya","Round 6",2014-11-12,2014-12-05,23,"Ainabkoi",1,2014-10-22,2014-10-22,2014-10-22,NA,0,0,0,NA,"University of Eldoret students took to the streets in protest over a directive that they sit special exams. The students claimed that they were not ready for the exams and that they were not given time to prepare.","ACLED"
"88","Kenya","Round 6",2014-11-12,2014-12-05,23,"Garissa",1,2014-10-22,2014-10-22,2014-10-22,NA,0,0,0,NA,"Twelve people were injured, four of them critically at Bula Sheikh in Garissa town when unknown assailants hurled a grenade at a shop.","ACLED"
"89","Kenya","Round 6",2014-11-12,2014-12-05,23,"Tiaty",1,2014-10-22,2014-10-22,2014-10-22,NA,5,5,5,NA,"Suspected local tribesmen attack a police post in Kapedo. Five dead, including three police officers.","ACLED"
"90","Kenya","Round 6",2014-11-12,2014-12-05,23,"Lunga Lunga",1,2014-10-22,2014-10-22,2014-10-22,NA,0,0,0,NA,"Residents of Maguguni protest along the Mombasa-Nairobi highway for five hours to protest grabbing of the land by CORD corporation leader Raila Odinga. CORD is apparently interested in petroleum prospects on the plot.","ACLED"
"91","Kenya","Round 6",2014-11-12,2014-12-05,23,"Nyeri Town",1,2014-10-21,2014-10-21,2014-10-21,NA,0,0,0,NA,"Dedan Kimathi University of Technology in Nyeri closed indefinitely following a protest by the students against the alleged incompetence of their Vice Chancellor. The over 500 students shattered window panes in lecture halls; destroyed two university buses, a private vehicle and the students welfare building; set a thicket in the school on fire and harassed motorists along Nyeri-Nyahururu highway. They later engaged armed police officers in running battles before they were dispersed with teargas. A police officer reported an injury. There were additional riots at Karatina University, also in Nyeri.","ACLED"
"92","Kenya","Round 6",2014-11-12,2014-12-05,23,"Central",1,2014-10-20,2014-10-20,2014-10-20,NA,0,0,0,NA,"Mashujaa Day celebrations were disrupted when supporters of a Kirinyaga Central MP (TNA) engaged youths (affiliation unknown) at Kerugoya Stadium. Chaos erupted when the youths stormed the venue of the event and started booing the MP as he addressed residents. Injuries reported.","ACLED"
"93","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mandera East",1,2014-10-18,2014-10-18,2014-10-18,NA,5,5,5,NA,"KDF forces kill five suspected al Shabaab fighters who were attempting to drive an explosive laden car into Kenya from Ethiopia. Mandera is situated at a point where a border is shared by both Ethiopia and Somalia.","ACLED"
"94","Kenya","Round 6",2014-11-12,2014-12-05,23,"Dadaab",1,2014-10-17,2014-10-17,2014-10-17,NA,1,1,1,NA,"Unknown gunmen killed a police officer near the border with Somalia before escaping.","ACLED"
"95","Kenya","Round 6",2014-11-12,2014-12-05,23,"Lamu West",1,2014-10-17,2014-10-17,2014-10-17,NA,0,0,0,NA,"200+ Muslims demonstrated against the 6pm-6am curfew in [Kenya] on Lamu Island. The group asserted the curfew hurts the local fishing economy.","ACLED"
"96","Kenya","Round 6",2014-11-12,2014-12-05,23,"Kilgoris",2,2014-10-15,2014-10-15,2014-10-15,NA,0,0,0,NA,"Members of the Olomismis Group Ranch in Trans Mara protested against their officials mismanagement. The exact location of the protest is not known.","ACLED"
"97","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mandera North",1,2014-10-15,2014-10-15,2014-10-15,NA,0,0,0,NA,"A senior Kenyan county official escaped death narrowly after an Improvised Explosive Device (IED) exploded as he was being driven to his office in the border town of Rhamu, Mandera. Perpetrators not known. Two injuries reported.","ACLED"
"98","Kenya","Round 6",2014-11-12,2014-12-05,23,"Kapenguria",1,2014-10-15,2014-10-15,2014-10-15,NA,0,0,0,NA,"Drivers in Makutano and Kapenguria towns, West Pokot protested against the poor state of the Makutano-Alale road outside of Makutano. They blocked the road to the governor and county commissioners offices for several hours.","ACLED"
"99","Kenya","Round 6",2014-11-12,2014-12-05,23,"Kapenguria",1,2014-10-15,2014-10-15,2014-10-15,NA,0,0,0,NA,"Drivers in Makutano and Kapenguria towns, West Pokot protested against the poor state of the Makutano-Alale road outside of Makutano. They blocked the road to the governor and county commissioners offices for several hours.","ACLED"
"100","Kenya","Round 6",2014-11-12,2014-12-05,23,"Limuru",1,2014-10-13,2014-10-13,2014-10-13,NA,0,0,0,NA,"Protesters blocked the Nairobi Nakuru highway at Kwambira in Limuru after a 43 year old man was found murdered near his home. The protesters lit bonfires and blocked the road with stones, accusing the government of laxity in providing security.","ACLED"
"101","Kenya","Round 6",2014-11-12,2014-12-05,23,"Africa",2,2014-12-02,2014-12-02,2014-12-02,NA,36,36,36,NA,"Gunmen slaughter 36 in fresh northeast Kenya attack;At least 36 feared dead in northeast Kenya attack: Red Cross;Gunmen slaughter 36 in fresh northeast Kenya attack;Somalia's Shebab claim latest Kenya massacre, vow more attacks;Somali Militants Kill 36 in Kenya Border Attack -- 2nd Update","UCDP"
