idEvent,Countrycode,Country,Location,Lat,Long,BufferEvent,BufferLocation,TrsBndry,LocDesc,Start,End,DateEst,StartDesc,Type,TypeDesc,EvDesc,FatEst,FatDesc,FatMn,FatMx,FatCivMn,FatCivMx,FatMilMn,FatMilMx,idActor0,ActActiv0,ActAly0,ActUncon0,ActName0,ActDesc0,ActLead0,idActor1,ActActiv1,ActAly1,ActUncon1,ActName1,ActDesc1,ActLead1,idActor2,ActActiv2,ActAly2,ActUncon2,ActName2,ActDesc2,ActLead2,idActor3,ActActiv3,ActAly3,ActUncon3,ActName3,ActDesc3,ActLead3,idActor4,ActActiv4,ActAly4,ActUncon4,ActName4,ActDesc4,ActLead4,idActor5,ActActiv5,ActAly5,ActUncon5,ActName5,ActDesc5,ActLead5,idActor6,ActActiv6,ActAly6,ActUncon6,ActName6,ActDesc6,ActLead6,idSrce0,SrceDate0,SrceName0,SrceBias0,idSrce1,SrceDate1,SrceName1,SrceBias1,idSrce2,SrceDate2,SrceName2,SrceBias2,idSrce3,SrceDate3,SrceName3,SrceBias3,idSrce4,SrceDate4,SrceName4,SrceBias4,idSrce5,SrceDate5,SrceName5,SrceBias5,idSrce6,SrceDate6,SrceName6,SrceBias6,idSrce7,SrceDate7,SrceName7,SrceBias7,idSrce8,SrceDate8,SrceName8,SrceBias8,idSrce9,SrceDate9,SrceName9,SrceBias9,idSrce10,SrceDate10,SrceName10,SrceBias10,idSrce11,SrceDate11,SrceName11,SrceBias11,idSrce12,SrceDate12,SrceName12,SrceBias12,idSrce13,SrceDate13,SrceName13,SrceBias13,idSrce14,SrceDate14,SrceName14,SrceBias14,idSrce15,SrceDate15,SrceName15,SrceBias15
2070,SIE,Sierra Leone,Kailahun District,"80,888","-107,248","37,76",0,0,Singema in the Kailahun District,1993-04-30,1993-04-30,0,,Fighting,Fighting,government troops capture two towns,1,According to the first brigade operational adjutant 63 rebels were killed; split death toll,1,31,0,0,1,"31,5",332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,145,0,0,0,Rebel(s),Unspecified rebel(s),,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,107,07.05.1993,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
6866,SIE,Sierra Leone,Kailahun District,"80,888","-107,248","37,76",0,0,Kionde in Kailahun District,1993-11-08,1993-11-08,0,,Fighting,Fighting,capture of several towns,1,"102 rebels and four government soldiers killed, reported by army sources. Split death toll.",0,66,0,0,"0,66","11,77",345,0,NA,0,Revolutionary United Front (RUF),Revolutionary United Front - rebel army in Sierra Leone from 1991-2002.,Foday Sankoh,332,0,NA,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,107,12.11.1993,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2057,SIE,Sierra Leone,Baiima,"8,25","-108,333",0,0,0,,1992-08-28,1992-08-28,1,"reported on August 28, 1992",Fighting,Fighting,army attacks rebels,1,the numbers of deaths are given by the war council in charge of anti-insurgent operations,1,12,0,0,1,12,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,345,0,0,0,Revolutionary United Front (RUF),Revolutionary United Front - rebel army in Sierra Leone from 1991-2002.,Foday Sankoh,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,105,01.09.1992,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2071,SIE,Sierra Leone,Baiwala,"79,942","-106,475",0,0,0,,1993-05-08,1993-05-08,0,,Fighting,Fighting,strategic town recaptured,1,"According to military sources, over 200 rebels were killed.",1,201,0,0,1,201,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,145,0,0,0,Rebel(s),Unspecified rebel(s),,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,107,11.05.1993,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
1993,SIE,Sierra Leone,Bendu,"84,167","-107,167",0,0,0,,1991-03-30,1991-03-30,1,two different informations: 29.3. vs. 31.3 --> coded 30.3.,Fighting,Fighting,suspected NPFL rebels killed,0,,1,50,0,0,1,"9,5",328,0,0,0,National Patriotic Front of Liberia (NPFL),National Patriotic Front of Liberia (NPFL),Charles Taylor,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,104,02.04.1991,BBC Monitoring,2,104,03.04.1991,The Guardian,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2013,SIE,Sierra Leone,Bunumbu,"8,2","-10,5",0,0,0,,1991-05-11,1991-05-11,0,,Fighting,Fighting,60 suspected Liberian rebels killed,1,numbers of deaths given by by government officials,1,60,0,0,1,60,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,313,0,0,1,Liberian rebels,Liberian rebels,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,104,14.05.1991,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
6868,SIE,Sierra Leone,Bwedu,"8,3","-105,167",0,0,0,,1993-11-08,1993-11-08,0,,Fighting,Fighting,capture of several towns,1,"102 rebels and four government soldiers killed, reported by army sources. Split death toll.",0,66,0,0,"0,66","11,77",332,0,NA,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,345,0,NA,0,Revolutionary United Front (RUF),Revolutionary United Front - rebel army in Sierra Leone from 1991-2002.,Foday Sankoh,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,107,12.11.1993,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2016,SIE,Sierra Leone,Daru,"79,919","-108,406",0,0,0,,1991-05-12,1991-05-12,0,,Fighting,Fighting,attack by rebel Liberians repulsed,1,"According to a defence spokesman, ''hundreds of rebels'' were killed.",1,2,0,0,1,2,332,0,1,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,335,0,1,0,Guinean government forces,Guinean government forces,,328,0,0,0,National Patriotic Front of Liberia (NPFL),National Patriotic Front of Liberia (NPFL),Charles Taylor,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,104,16.05.1991,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
1998,SIE,Sierra Leone,Daru,"79,919","-108,406",0,0,0,,1991-05-02,1991-05-02,1,source date,Fighting,Fighting,Sierra Leonean troops kill 50 Liberian rebels,1,"""at least 50 Liberian rebels"" killed; death toll reported by SL military",1,50,0,0,1,50,313,0,0,0,Liberian rebels,Liberian rebels,,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,104,04.05.1991,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2031,SIE,Sierra Leone,Daru,"79,919","-108,406",0,11,0,"""in the eastern district of Kailahun about 11 km from the Daru army base""",1991-10-19,1991-10-20,0,,Fighting,Fighting,Fighting on both sides of Liberia-Sierra Leone border,0,,26,26,0,0,26,26,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,328,0,0,0,National Patriotic Front of Liberia (NPFL),National Patriotic Front of Liberia (NPFL),Charles Taylor,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,104,25.10.1991,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2091,SIE,Sierra Leone,Dia,"83,833","-104,167",0,0,0,,1993-12-05,1993-12-05,0,,Fighting,Fighting,rebel attack in Dia,1,military sources claim death of 22 rebels,1,22,0,0,1,22,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,145,0,0,0,Rebel(s),Unspecified rebel(s),,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,107,11.12.1993,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
6870,SIE,Sierra Leone,Dodo,"82,531","-104,178",0,0,0,,1993-11-08,1993-11-08,0,,Fighting,Fighting,capture of several towns,1,"102 rebels and four government soldiers killed, reported by army sources. Split death toll.",0,66,0,0,"0,66","11,77",345,0,NA,0,Revolutionary United Front (RUF),Revolutionary United Front - rebel army in Sierra Leone from 1991-2002.,Foday Sankoh,332,0,NA,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,107,12.11.1993,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2206,SIE,Sierra Leone,Fola,"79,772","-109,833",0,0,0,"""Follah village near Segbewama"" - Sierra Leone 2000, p.936",2000-08-27,2000-08-27,0,,Fighting,Fighting,rebels attack town,0,,10,10,9,9,1,1,318,0,0,0,Kamajor militia,Kamajor militia,Samuel Hinga Norman,345,0,0,0,Revolutionary United Front (RUF),Revolutionary United Front - rebel army in Sierra Leone from 1991-2002.,Foday Sankoh,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,114,03.09.2000,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2059,SIE,Sierra Leone,Gandohun,"79,544","-108,533",0,0,0,,1992-09-30,1992-09-30,0,,Fighting,Fighting,town recaptured from rebels,1,30 rebels killed as reported by  Under-Secretary of State for Defence,1,30,0,0,1,30,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,328,0,0,0,National Patriotic Front of Liberia (NPFL),National Patriotic Front of Liberia (NPFL),Charles Taylor,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,105,07.10.1992,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2095,SIE,Sierra Leone,Gorama,"80,667","-107,333",0,0,0,Ngorama Tonkia [phonetic] --> used 'Gorama',1993-12-21,1993-12-21,0,,Fighting,Fighting,violations of cease-fire,1,according to a communique issued by the Defence Department,1,3,0,0,1,3,145,0,0,0,Rebel(s),Unspecified rebel(s),,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,108,07.01.1994,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2058,SIE,Sierra Leone,Jojoima,"78,792","-107,878",0,0,0,,1992-08-28,1992-08-28,1,"reported on August 28, 1992",Fighting,Fighting,army attacks rebels,1,the numbers of deaths are given by the war council in charge of anti-insurgent operations,1,12,0,0,1,12,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,345,0,0,0,Revolutionary United Front (RUF),Revolutionary United Front - rebel army in Sierra Leone from 1991-2002.,Foday Sankoh,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,105,01.09.1992,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2050,SIE,Sierra Leone,Kailahun,"82,833","-105,667",0,0,0,"""in the towns of Makeni, Magburaka and Kailahun""",2000-05-02,2000-05-03,1,fighting started two days before the 5th of May 2000,Fighting,Fighting,Clashes between UN troops and RUF rebels,0,,3,33,0,0,"3,33","3,33",351,0,0,0,United Nations Troops,Armed forces of the United Nations Organisation,,345,0,0,0,Revolutionary United Front (RUF),Revolutionary United Front - rebel army in Sierra Leone from 1991-2002.,Foday Sankoh,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,114,04.05.2000,BBC Monitoring,0,114,04.05.2000,BBC Monitoring,0,114,05.05.2000,Washington Post,0,114,05.05.2000,BBC Monitoring,0,114,05.05.2000,BBC Monitoring,0,114,04.05.2000,Washington Post,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
